project_name,color_code,quantity
5色圆子,A01,14
5色圆子,A02,2
5色圆子,A06,9
5色圆子,A07,12
5色圆子,A16,148
5色圆子,A21,197
5色圆子,A26,48
5色圆子,B01,3
5色圆子,B24,143
5色圆子,B27,14
5色圆子,B29,51
5色圆子,E01,16
5色圆子,E17,145
5色圆子,F09,16
5色圆子,F14,12
5色圆子,F21,46
5色圆子,F23,3
5色圆子,G12,6
5色圆子,G14,16
5色圆子,G19,13
5色圆子,G21,22
5色圆子的另一半,B24,2
5色圆子的另一半,B29,6
5色圆子的另一半,C01,2
5色圆子的另一半,C03,6
5色圆子的另一半,C06,7
5色圆子的另一半,C13,48
5色圆子的另一半,C14,151
5色圆子的另一半,C21,151
5色圆子的另一半,C23,48
5色圆子的另一半,C24,9
5色圆子的另一半,C25,5
5色圆子的另一半,C27,8
5色圆子的另一半,D06,4
5色圆子的另一半,D08,2
5色圆子的另一半,D09,2
5色圆子的另一半,D12,5
5色圆子的另一半,D19,47
5色圆子的另一半,D23,149
5色圆子的另一半,D26,4
5色圆子的另一半,E01,26
5色圆子的另一半,F25,4
5色圆子的另一半,G14,16
5色圆子的另一半,H02,38
5色圆子的另一半,H03,47
5色圆子的另一半,H04,161
5色圆子的另一半,H05,56
5色圆子的另一半,H09,7
5色圆子的另一半,H11,165
5色圆子的另一半,M4,4
角落生物1,A01,140
角落生物1,A03,4
角落生物1,A16,8
角落生物1,A21,33
角落生物1,A23,9
角落生物1,B20,20
角落生物1,B27,6
角落生物1,B28,1
角落生物1,B29,5
角落生物1,C13,44
角落生物1,C14,19
角落生物1,C21,84
角落生物1,C24,12
角落生物1,C25,2
角落生物1,C28,3
角落生物1,D08,2
角落生物1,E16,53
角落生物1,E17,202
角落生物1,E18,68
角落生物1,E24,61
角落生物1,F14,45
角落生物1,F16,14
角落生物1,F21,45
角落生物1,F22,4
角落生物1,H01,3
角落生物1,H02,368
角落生物1,H03,4
角落生物1,H04,6
角落生物1,H12,109
角落生物1,H13,24
角落生物1,H14,15
角落生物1,H22,12
角落生物1,M4,14
角落生物1,M9,6
角落生物2,A01,140
角落生物2,A02,2
角落生物2,A21,2
角落生物2,A22,8
角落生物2,B11,2
角落生物2,B20,4
角落生物2,B24,153
角落生物2,B27,8
角落生物2,C01,16
角落生物2,C13,87
角落生物2,C14,42
角落生物2,C17,1
