color_code,color_name,hex,current_qty,low_stock_threshold
A01,A01,#fff3c8,650,500
A02,A02,#e8edc8,983,500
A03,A03,#f7f48a,914,500
A04,A04,#d8c400,979,500
A05,A05,#f4c600,832,500
A06,A06,#e59a00,932,500
A07,A07,#e66b12,1938,500
A08,A08,#c7a000,1000,500
A09,A09,#f0995f,1000,500
A10,A10,#f27a22,1000,500
A11,A11,#e6bd70,937,500
A12,A12,#f2a58e,951,500
A13,A13,#ffc241,1000,500
A14,A14,#f04123,1000,500
A15,A15,#f3ea16,1000,500
A16,A16,#eceb7d,818,500
A17,A17,#f0c535,870,500
A18,A18,#ffc06c,1000,500
A19,A19,#c94d4b,951,500
A20,A20,#bfa23e,1000,500
A21,A21,#f2cf65,768,500
A22,A22,#f2df64,949,500
A23,A23,#c9a48f,991,500
A24,A24,#eff1b5,919,500
A25,A25,#bfa24a,1000,500
A26,A26,#d99a18,936,500
B01,B01,#c8f34a,997,500
B02,B02,#bdef4a,992,500
B03,B03,#b3eb4a,996,500
B04,B04,#a8e74a,1000,500
B05,B05,#9de34a,1000,500
B06,B06,#93df4a,1000,500
B07,B07,#87db4b,1000,500
B08,B08,#7bd74c,1000,500
B09,B09,#6fd24d,1000,500
B10,B10,#63ce4e,903,500
B11,B11,#57ca4f,998,500
B12,B12,#4bc14f,2000,500
B13,B13,#3fb650,996,500
B14,B14,#34ab51,980,500
B15,B15,#289f51,1000,500
B16,B16,#1c9452,995,500
B17,B17,#158951,1000,500
B18,B18,#137f4e,1000,500
B19,B19,#11754c,974,500
B20,B20,#0f6b49,957,500
B21,B21,#0c6147,1000,500
B22,B22,#10624d,1000,500
B23,B23,#1e7866,1000,500
B24,B24,#2c8f7e,702,500
B25,B25,#3ba596,1000,500
B26,B26,#49bcaf,1000,500
B27,B27,#58d0c1,972,500
B28,B28,#6bd3b3,999,500
B29,B29,#7ed6a4,938,500
B30,B30,#91d996,971,500
B31,B31,#a4dc88,1000,500
B32,B32,#b7df7a,1000,500
C01,C01,#c9e7d4,982,500
C02,C02,#b7eee7,991,500
C03,C03,#c8edf6,786,500
